rho,count,probability
1,500001,0.50000100
2,250000,0.25000000
3,125000,0.12500000
4,62504,0.06250400
5,31248,0.03124800
6,15624,0.01562400
7,7812,0.00781200
8,3906,0.00390600
9,1953,0.00195300
10,976,0.00097600
11,489,0.00048900
12,232,0.00023200
13,128,0.00012800
14,64,0.00006400
15,32,0.00003200
16,0,0.00000000
17,16,0.00001600
18,8,0.00000800
19,4,0.00000400
20,2,0.00000200
21,0,0.00000000
22,0,0.00000000
23,1,0.00000100
24,0,0.00000000
25,0,0.00000000
26,0,0.00000000
27,0,0.00000000
28,0,0.00000000
29,0,0.00000000
30,0,0.00000000
31,0,0.00000000
32,0,0.00000000
